NAME
Airbnb
Alon Blue Square
Alphabet
Alstom
Altice International
Allianz
Amazon.com
American Israeli Gas
Amir Marketing
Angel Bakeries
AP Møller - Mærsk
Ariel Properties
Ashtrom
Axa
Axel Springer
Bank Hapoalim
Bank Leumi
Bank of Jerusalem
Barclays Bank
Bezeq
Booking Holdings
BNP Paribas
Blackrock
BP plc
Bright Food
Bright Dairy & Food
C Mer Industries
Café Café Israel
Caliber 3 
Carlsberg
Carrefour
Caterpillar
Cellcom Israel
Cemex
Cherriessa
Chevron
Chish Nofei Israel
Cisco Systems
CNH Industrial
Comasco
Construcciones y auxiliar de Ferrocarriles
DBS Satellite Services
Danya Cebus
Delek Group
Delta Galil
Delta Israel Brands
Dor Alon Energy
Drummond Company
eDreams ODIGEO
Egged Transportation
Egis Group
Elbit Systems
Electra Group
EPR Systems
Expedia
Export Investment Company
Extal
FANUC
Field Produce
Field Produce Marketing
First International Bank of Israel
Galshan Shvakim
Glenocore
Greenkote
Hadar Group
Hadiklaim Israel Date
Hamat Group
Heidelberg Materials
Hewlett Packard Enterprise
HikVision
Hilan
HD Hyundai Heavy
International Business Machines
Israel Aereospaces Industries
ICL Group
Israel Discount Bank
Israel Railways
Italek
J.C. Bamford Excavators
Kardan NV
Keller Williams Reality
Keren Kayemeth LeIsrael
Leonardo
Lockheed Martin
Traton SE
Matrix IT
Mayer’s Cars and Trucks
Mekorot Water Company
Mercantile Discount Bank
Microsoft corp
MiVne Real Estate
Mizrahi Tefahot Bank
Modi’in Ezrachi Group
Mordechai Aviv
Motorola Solutions
Naaman Group
Natoon Group
Nof Yam Security
NSO Group
Ofertex Industries
Opodo
Orbia
Palantir
Partner Communication
Paz Oil Company
Pelephone Communications
Petroleo Brasileiro
Profilmat
Rami Levy Chain Stores
Rami Levy Hashikma
RE/MAX
Shalgal Food
Shapir Engineering and Industry
Shikun & Binui
Shufersal
Siemens
Sonol Israel
Superbus
Supergum Industries 1969
Syensqo
The Caisse de dépôt et placement du Québec
Coca-Cola
The Vanguard
TKH Group
Tripadvisor
TUI Group
Twitoplast
Unikowsky Maoz
Villar International
Vinci
Volvo AB
WSP Global
Zakai Agriculture Know-how and inputs
ZF Development and Construction
ZMH Hammerman
Zriha Hlavin Industries
Bombardier Trasportation
Hot Telecommunications Systems
Ashtrom Industries
Tnuva
NewMedEnergy
Egis Rail
Electra Afikim
Hanson Israel 
HD Hyundai Infracore
Tahal Group
KW israel 
MAN Truck & Bus SE
Kavim Public Transportation
Motorola Solutions Israel
Netafim
Ashod refinery
Beit Haarchiv
Hot Mobile
Merkavim Transportation Technologies
The Archivists
Mayer Davidov Garages
